,meta,position,year_span,start_year,end_year,full_slug,iter
581,Paxton Lynch (QB) 2016-2017,QB,2016-2017,2016,2017,https://www.pro-football-reference.com/players/L/LyncPa00.htm,L
582,Matt Lytle (QB) 2000-2001,QB,2000-2001,2000,2001,https://www.pro-football-reference.com/players/L/LytlMa00.htm,L
583,Mike Machurek (QB) 1984-1984,QB,1984-1984,1984,1984,https://www.pro-football-reference.com/players/M/MachMi00.htm,M
584,Kyle Mackey (QB) 1987-1989,QB,1987-1989,1987,1989,https://www.pro-football-reference.com/players/M/MackKy00.htm,M
585,Bill Mackrides (QB) 1947-1953,QB,1947-1953,1947,1953,https://www.pro-football-reference.com/players/M/MackBi20.htm,M
586,Tommy Maddox (QB) 1992-2005,QB,1992-2005,1992,2005,https://www.pro-football-reference.com/players/M/MaddTo00.htm,M
587,Patrick Mahomes (QB) 2017-2023,QB,2017-2023,2017,2023,https://www.pro-football-reference.com/players/M/MahoPa00.htm,M
588,Lou Mahrt (QB) 1926-1927,QB,1926-1927,1926,1927,https://www.pro-football-reference.com/players/M/MahrLo20.htm,M
589,Don Majkowski (QB) 1987-1996,QB,1987-1996,1987,1996,https://www.pro-football-reference.com/players/M/MajkDo00.htm,M
590,Ryan Mallett (QB) 2012-2017,QB,2012-2017,2012,2017,https://www.pro-football-reference.com/players/M/MallRy00.htm,M
591,Ray Mallouf (QB-TB) 1941-1949,QB-TB,1941-1949,1941,1949,https://www.pro-football-reference.com/players/M/MallRa20.htm,M
592,Mark Malone (QB-WR) 1980-1989,QB-WR,1980-1989,1980,1989,https://www.pro-football-reference.com/players/M/MaloMa00.htm,M
593,Mark Manges (QB) 1978-1978,QB,1978-1978,1978,1978,https://www.pro-football-reference.com/players/M/MangMa20.htm,M
594,Archie Manning (QB) 1971-1984,QB,1971-1984,1971,1984,https://www.pro-football-reference.com/players/M/MannAr00.htm,M
595,Eli Manning (QB) 2004-2019,QB,2004-2019,2004,2019,https://www.pro-football-reference.com/players/M/MannEl00.htm,M
596,Peyton Manning+ (QB) 1998-2015,QB,1998-2015,1998,2015,https://www.pro-football-reference.com/players/M/MannPe00.htm,M
597,Sean Mannion (QB) 2015-2021,QB,2015-2021,2015,2021,https://www.pro-football-reference.com/players/M/MannSe00.htm,M
598,Dan Manucci (QB) 1979-1987,QB,1979-1987,1979,1987,https://www.pro-football-reference.com/players/M/ManuDa20.htm,M
599,EJ Manuel (QB) 2013-2017,QB,2013-2017,2013,2017,https://www.pro-football-reference.com/players/M/ManuEJ00.htm,M
600,Johnny Manziel (QB) 2014-2015,QB,2014-2015,2014,2015,https://www.pro-football-reference.com/players/M/ManzJo00.htm,M
601,Gary Marangi (QB) 1974-1976,QB,1974-1976,1974,1976,https://www.pro-football-reference.com/players/M/MaraGa00.htm,M
602,Ted Marchibroda (QB) 1953-1957,QB,1953-1957,1953,1957,https://www.pro-football-reference.com/players/M/MarcTe20.htm,M
603,Joe Margucci (HB-QB) 1947-1948,HB-QB,1947-1948,1947,1948,https://www.pro-football-reference.com/players/M/MargJo20.htm,M
604,Dan Marino+ (QB) 1983-1999,QB,1983-1999,1983,1999,https://www.pro-football-reference.com/players/M/MariDa00.htm,M
605,Todd Marinovich (QB) 1991-1992,QB,1991-1992,1991,1992,https://www.pro-football-reference.com/players/M/MariTo00.htm,M
606,Marcus Mariota (QB) 2015-2022,QB,2015-2022,2015,2022,https://www.pro-football-reference.com/players/M/MariMa01.htm,M
607,Ralph Marston (QB) 1929-1929,QB,1929-1929,1929,1929,https://www.pro-football-reference.com/players/M/MarsRa21.htm,M
608,Ingle Martin (QB) 2006-2006,QB,2006-2006,2006,2006,https://www.pro-football-reference.com/players/M/MartIn00.htm,M
609,Jamie Martin (QB) 1996-2007,QB,1996-2007,1996,2007,https://www.pro-football-reference.com/players/M/MartJa00.htm,M
610,Tee Martin (QB) 2001-2003,QB,2001-2003,2001,2003,https://www.pro-football-reference.com/players/M/MartTe00.htm,M
611,Bernie Masterson (QB) 1934-1940,QB,1934-1940,1934,1940,https://www.pro-football-reference.com/players/M/MastBe20.htm,M
612,Bruce Mathison (QB) 1983-1987,QB,1983-1987,1983,1987,https://www.pro-football-reference.com/players/M/MathBr00.htm,M
613,Charlie Mathys (BB-QB) 1921-1926,BB-QB,1921-1926,1921,1926,https://www.pro-football-reference.com/players/M/MathCh20.htm,M
614,Tom Matte (RB-QB) 1961-1972,RB-QB,1961-1972,1961,1972,https://www.pro-football-reference.com/players/M/MattTo00.htm,M
615,Shane Matthews (QB) 1996-2004,QB,1996-2004,1996,2004,https://www.pro-football-reference.com/players/M/MattSh00.htm,M
616,Steve Matthews (QB) 1997-1998,QB,1997-1998,1997,1998,https://www.pro-football-reference.com/players/M/MattSt00.htm,M
617,Matt Mauck (QB) 2005-2005,QB,2005-2005,2005,2005,https://www.pro-football-reference.com/players/M/MaucMa00.htm,M
618,Dean May (QB) 1984-1987,QB,1984-1987,1984,1987,https://www.pro-football-reference.com/players/M/MayxDe20.htm,M
619,Baker Mayfield (QB) 2018-2023,QB,2018-2023,2018,2023,https://www.pro-football-reference.com/players/M/MayfBa00.htm,M
620,Dave Mays (QB) 1976-1978,QB,1976-1978,1976,1978,https://www.pro-football-reference.com/players/M/MaysDa00.htm,M
621,A.J. McCarron (QB) 2015-2020,QB,2015-2020,2015,2020,https://www.pro-football-reference.com/players/M/McCaA.00.htm,M
622,John McCarthy (QB) 1944-1944,QB,1944-1944,1944,1944,https://www.pro-football-reference.com/players/M/McCaJo23.htm,M
623,Brian McClure (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/M/McClBr20.htm,M
624,John McCormick (QB) 1962-1968,QB,1962-1968,1962,1968,https://www.pro-football-reference.com/players/M/McCoJo00.htm,M
625,Josh McCown (QB) 2002-2019,QB,2002-2019,2002,2019,https://www.pro-football-reference.com/players/M/McCoJo01.htm,M
626,Luke McCown (QB) 2004-2015,QB,2004-2015,2004,2015,https://www.pro-football-reference.com/players/M/McCoLu00.htm,M
627,Colt McCoy (QB) 2010-2022,QB,2010-2022,2010,2022,https://www.pro-football-reference.com/players/M/McCoCo00.htm,M
628,Paul McDonald (QB) 1980-1986,QB,1980-1986,1980,1986,https://www.pro-football-reference.com/players/M/McDoPa00.htm,M
629,Coley McDonough (TB-QB) 1939-1944,TB-QB,1939-1944,1939,1944,https://www.pro-football-reference.com/players/M/McDoCo20.htm,M
630,Greg McElroy (QB) 2012-2012,QB,2012-2012,2012,2012,https://www.pro-football-reference.com/players/M/McElGr00.htm,M
631,Stephen McGee (QB) 2010-2011,QB,2010-2011,2010,2011,https://www.pro-football-reference.com/players/M/McGeSt00.htm,M
632,Matt McGloin (QB) 2013-2016,QB,2013-2016,2013,2016,https://www.pro-football-reference.com/players/M/McGlMa01.htm,M
633,Monte McGuire (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/M/McGuMo20.htm,M
634,Dan McGwire (QB) 1991-1995,QB,1991-1995,1991,1995,https://www.pro-football-reference.com/players/M/McGwDa00.htm,M
635,Lamar McHan (QB) 1954-1963,QB,1954-1963,1954,1963,https://www.pro-football-reference.com/players/M/McHaLa00.htm,M
636,Rick McIvor (QB) 1984-1985,QB,1984-1985,1984,1985,https://www.pro-football-reference.com/players/M/McIvRi20.htm,M
637,Jim McMahon (QB) 1982-1996,QB,1982-1996,1982,1996,https://www.pro-football-reference.com/players/M/McMaJi00.htm,M
638,Mike McMahon (QB) 2001-2005,QB,2001-2005,2001,2005,https://www.pro-football-reference.com/players/M/McMaMi00.htm,M
639,Donovan McNabb (QB) 1999-2011,QB,1999-2011,1999,2011,https://www.pro-football-reference.com/players/M/McNaDo00.htm,M
640,Steve McNair (QB) 1995-2007,QB,1995-2007,1995,2007,https://www.pro-football-reference.com/players/M/McNaSt00.htm,M
641,Reggie McNeal (QB) 2006-2006,QB,2006-2006,2006,2006,https://www.pro-football-reference.com/players/M/McNeRe00.htm,M
642,Cade McNown (QB) 1999-2000,QB,1999-2000,1999,2000,https://www.pro-football-reference.com/players/M/McNoCa00.htm,M
643,Kim McQuilken (QB) 1974-1979,QB,1974-1979,1974,1979,https://www.pro-football-reference.com/players/M/McQuKi00.htm,M
644,Trace McSorley (QB) 2019-2022,QB,2019-2022,2019,2022,https://www.pro-football-reference.com/players/M/McSoTr00.htm,M
645,Don Meredith (QB) 1960-1968,QB,1960-1968,1960,1968,https://www.pro-football-reference.com/players/M/MereDo00.htm,M
646,Guido Merkens (WR-QB-DB) 1978-1987,WR-QB-DB,1978-1987,1978,1987,https://www.pro-football-reference.com/players/M/MerkGu00.htm,M
647,Zach Mettenberger (QB) 2014-2015,QB,2014-2015,2014,2015,https://www.pro-football-reference.com/players/M/MettZa00.htm,M
648,Ron Meyer (QB) 1966-1966,QB,1966-1966,1966,1966,https://www.pro-football-reference.com/players/M/MeyeRo00.htm,M
649,Mike Micka (FB-HB-QB) 1944-1948,FB-HB-QB,1944-1948,1944,1948,https://www.pro-football-reference.com/players/M/MickMi20.htm,M
650,Pete Mikolajewski (QB) 1969-1969,QB,1969-1969,1969,1969,https://www.pro-football-reference.com/players/M/MikoPe20.htm,M
651,Don Milan (QB) 1975-1975,QB,1975-1975,1975,1975,https://www.pro-football-reference.com/players/M/MilaDo00.htm,M
652,Scott Milanovich (QB) 1996-1996,QB,1996-1996,1996,1996,https://www.pro-football-reference.com/players/M/MilaSc00.htm,M
653,Hugh Millen (QB) 1987-1995,QB,1987-1995,1987,1995,https://www.pro-football-reference.com/players/M/MillHu00.htm,M
654,Chris Miller (QB) 1987-1999,QB,1987-1999,1987,1999,https://www.pro-football-reference.com/players/M/MillCh00.htm,M
655,Eddie Miller (TB-QB-DB) 1939-1940,TB-QB-DB,1939-1940,1939,1940,https://www.pro-football-reference.com/players/M/MillEd20.htm,M
656,Jim Miller (QB) 1995-2002,QB,1995-2002,1995,2002,https://www.pro-football-reference.com/players/M/MillJi00.htm,M
657,Larry Miller (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/M/MillLa20.htm,M
658,Mark Miller (QB) 1978-1979,QB,1978-1979,1978,1979,https://www.pro-football-reference.com/players/M/MillMa00.htm,M
659,Mark Miller (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/M/MillMa20.htm,M
660,Ron Miller (QB) 1962-1962,QB,1962-1962,1962,1962,https://www.pro-football-reference.com/players/M/MillRo01.htm,M
661,Davis Mills (QB) 2021-2022,QB,2021-2022,2021,2022,https://www.pro-football-reference.com/players/M/MillDa02.htm,M
662,Charlie Milstead (QB-DB) 1960-1961,QB-DB,1960-1961,1960,1961,https://www.pro-football-reference.com/players/M/MilsCh20.htm,M
663,Gardner Minshew II (QB) 2019-2023,QB,2019-2023,2019,2023,https://www.pro-football-reference.com/players/M/MinsGa00.htm,M
664,Ed Mioduszewski (QB-DB) 1953-1953,QB-DB,1953-1953,1953,1953,https://www.pro-football-reference.com/players/M/MiodEd20.htm,M
665,George Mira (QB) 1964-1971,QB,1964-1971,1964,1971,https://www.pro-football-reference.com/players/M/MiraGe00.htm,M
666,Rick Mirer (QB) 1993-2003,QB,1993-2003,1993,2003,https://www.pro-football-reference.com/players/M/MireRi00.htm,M
667,Bob Mitchell (HB-QB-DB) 1946-1948,HB-QB-DB,1946-1948,1946,1948,https://www.pro-football-reference.com/players/M/MitcBo20.htm,M
668,Scott Mitchell (QB) 1991-2001,QB,1991-2001,1991,2001,https://www.pro-football-reference.com/players/M/MitcSc00.htm,M
669,Keith Molesworth (HB-QB) 1931-1937,HB-QB,1931-1937,1931,1937,https://www.pro-football-reference.com/players/M/MoleKe20.htm,M
670,Kellen Mond (QB) 2021-2021,QB,2021-2021,2021,2021,https://www.pro-football-reference.com/players/M/MondKe00.htm,M
671,Bob Monnett (TB-HB-QB) 1933-1938,TB-HB-QB,1933-1938,1933,1938,https://www.pro-football-reference.com/players/M/MonnBo20.htm,M
672,Tommy Mont (QB-HB) 1947-1949,QB-HB,1947-1949,1947,1949,https://www.pro-football-reference.com/players/M/MontTo20.htm,M
673,Joe Montana+ (QB) 1979-1994,QB,1979-1994,1979,1994,https://www.pro-football-reference.com/players/M/MontJo01.htm,M
674,Warren Moon+ (QB) 1984-2000,QB,1984-2000,1984,2000,https://www.pro-football-reference.com/players/M/MoonWa00.htm,M
675,Kellen Moore (QB) 2015-2015,QB,2015-2015,2015,2015,https://www.pro-football-reference.com/players/M/MoorKe02.htm,M
676,Matt Moore (QB) 2007-2019,QB,2007-2019,2007,2019,https://www.pro-football-reference.com/players/M/MoorMa01.htm,M
677,Shawn Moore (QB) 1992-1992,QB,1992-1992,1992,1992,https://www.pro-football-reference.com/players/M/MoorSh00.htm,M
678,Moses Moreno (QB) 1998-2000,QB,1998-2000,1998,2000,https://www.pro-football-reference.com/players/M/MoreMo00.htm,M
679,Mike Moroski (QB) 1979-1986,QB,1979-1986,1979,1986,https://www.pro-football-reference.com/players/M/MoroMi00.htm,M
680,Earl Morrall (QB) 1956-1976,QB,1956-1976,1956,1976,https://www.pro-football-reference.com/players/M/MorrEa00.htm,M
681,Dennis Morrison (QB) 1974-1974,QB,1974-1974,1974,1974,https://www.pro-football-reference.com/players/M/MorrDe00.htm,M
682,Craig Morton (QB) 1965-1982,QB,1965-1982,1965,1982,https://www.pro-football-reference.com/players/M/MortCr00.htm,M
683,Perry Moss (QB) 1948-1948,QB,1948-1948,1948,1948,https://www.pro-football-reference.com/players/M/MossPe20.htm,M
684,Nick Mullens (QB) 2018-2022,QB,2018-2022,2018,2022,https://www.pro-football-reference.com/players/M/MullNi00.htm,M
685,George Munns (QB-TB) 1921-1921,QB-TB,1921-1921,1921,1921,https://www.pro-football-reference.com/players/M/MunnGe20.htm,M
686,Bill Munson (QB) 1964-1979,QB,1964-1979,1964,1979,https://www.pro-football-reference.com/players/M/MunsBi00.htm,M
687,Kyler Murray (QB) 2019-2022,QB,2019-2022,2019,2022,https://www.pro-football-reference.com/players/M/MurrKy00.htm,M
688,Bill Musgrave (QB) 1991-1996,QB,1991-1996,1991,1996,https://www.pro-football-reference.com/players/M/MusgBi00.htm,M
689,Steve Myer (QB) 1977-1979,QB,1977-1979,1977,1979,https://www.pro-football-reference.com/players/M/MyerSt00.htm,M
690,Jack Myers (FB-QB-LB) 1948-1952,FB-QB-LB,1948-1952,1948,1952,https://www.pro-football-reference.com/players/M/MyerJa20.htm,M
691,Tom Myers (QB) 1965-1966,QB,1965-1966,1965,1966,https://www.pro-football-reference.com/players/M/MyerTo00.htm,M
692,Ray Nagel (QB) 1953-1953,QB,1953-1953,1953,1953,https://www.pro-football-reference.com/players/N/NageRa20.htm,N
693,Browning Nagle (QB) 1991-1996,QB,1991-1996,1991,1996,https://www.pro-football-reference.com/players/N/NaglBr00.htm,N
694,Craig Nall (QB) 2003-2007,QB,2003-2007,2003,2007,https://www.pro-football-reference.com/players/N/NallCr00.htm,N
695,Joe Namath+ (QB) 1965-1977,QB,1965-1977,1965,1977,https://www.pro-football-reference.com/players/N/NamaJo00.htm,N
696,Bob Naponic (QB) 1970-1970,QB,1970-1970,1970,1970,https://www.pro-football-reference.com/players/N/NapoBo00.htm,N
697,Ryan Nassib (QB) 2014-2015,QB,2014-2015,2014,2015,https://www.pro-football-reference.com/players/N/NassRy00.htm,N
698,John Navarre (QB) 2004-2005,QB,2004-2005,2004,2005,https://www.pro-football-reference.com/players/N/NavaJo00.htm,N
699,Bill Nelsen (QB) 1963-1972,QB,1963-1972,1963,1972,https://www.pro-football-reference.com/players/N/NelsBi00.htm,N
700,Steve Nemeth (QB-HB) 1945-1947,QB-HB,1945-1947,1945,1947,https://www.pro-football-reference.com/players/N/NemeSt20.htm,N
701,Rick Neuheisel (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/N/NeuhRi20.htm,N
702,Cam Newton (QB) 2011-2021,QB,2011-2021,2011,2021,https://www.pro-football-reference.com/players/N/NewtCa00.htm,N
703,Gifford Nielsen (QB) 1978-1983,QB,1978-1983,1978,1983,https://www.pro-football-reference.com/players/N/NielGi00.htm,N
704,Jerry Niles (QB) 1947-1947,QB,1947-1947,1947,1947,https://www.pro-football-reference.com/players/N/NileJe20.htm,N
705,Jim Ninowski (QB) 1958-1969,QB,1958-1969,1958,1969,https://www.pro-football-reference.com/players/N/NinoJi00.htm,N
706,Emery Nix (TB-QB) 1943-1946,TB-QB,1943-1946,1943,1946,https://www.pro-football-reference.com/players/N/NixxEm20.htm,N
707,Kent Nix (QB) 1967-1972,QB,1967-1972,1967,1972,https://www.pro-football-reference.com/players/N/NixxKe00.htm,N
708,Terry Nofsinger (QB) 1961-1967,QB,1961-1967,1961,1967,https://www.pro-football-reference.com/players/N/NofsTe00.htm,N
709,Reino Nori (QB) 1937-1938,QB,1937-1938,1937,1938,https://www.pro-football-reference.com/players/N/NoriRe20.htm,N
710,Dick Norman (QB) 1961-1961,QB,1961-1961,1961,1961,https://www.pro-football-reference.com/players/N/NormDi20.htm,N
711,David Norrie (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/N/NorrDa20.htm,N
712,Mike Norseth (QB) 1988-1988,QB,1988-1988,1988,1988,https://www.pro-football-reference.com/players/N/NorsMi20.htm,N
713,Rick Norton (QB) 1966-1970,QB,1966-1970,1966,1970,https://www.pro-football-reference.com/players/N/NortRi00.htm,N
714,Mike Nott (QB) 1976-1976,QB,1976-1976,1976,1976,https://www.pro-football-reference.com/players/N/NottMi00.htm,N
715,Terry Nugent (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/N/NugeTe20.htm,N
716,Keith Null (QB) 2009-2009,QB,2009-2009,2009,2009,https://www.pro-football-reference.com/players/N/NullKe00.htm,N
717,Doug Nussmeier (QB) 1996-1997,QB,1996-1997,1996,1997,https://www.pro-football-reference.com/players/N/NussDo00.htm,N
718,Davey O'Brien (QB-TB) 1939-1940,QB-TB,1939-1940,1939,1940,https://www.pro-football-reference.com/players/O/OBriDa21.htm,O
719,Ken O'Brien (QB) 1984-1993,QB,1984-1993,1984,1993,https://www.pro-football-reference.com/players/O/OBriKe00.htm,O
720,Kevin O'Connell (QB) 2008-2008,QB,2008-2008,2008,2008,https://www.pro-football-reference.com/players/O/OConKe00.htm,O
721,Tommy O'Connell (QB) 1953-1961,QB,1953-1961,1953,1961,https://www.pro-football-reference.com/players/O/OConTo00.htm,O
722,Neil O'Donnell (QB) 1991-2003,QB,1991-2003,1991,2003,https://www.pro-football-reference.com/players/O/ODonNe00.htm,O
723,Tom O'Malley (QB) 1950-1950,QB,1950-1950,1950,1950,https://www.pro-football-reference.com/players/O/OMalTo20.htm,O
724,Charlie O'Rourke (QB) 1942-1949,QB,1942-1949,1942,1949,https://www.pro-football-reference.com/players/O/ORouCh20.htm,O
725,J.T. O'Sullivan (QB) 2004-2009,QB,2004-2009,2004,2009,https://www.pro-football-reference.com/players/O/OSulJ.00.htm,O
726,Cliff Olander (QB) 1977-1979,QB,1977-1979,1977,1979,https://www.pro-football-reference.com/players/O/OlanCl00.htm,O
727,Vince Oliver (QB) 1945-1945,QB,1945-1945,1945,1945,https://www.pro-football-reference.com/players/O/OlivVi20.htm,O
728,Dan Orlovsky (QB) 2005-2015,QB,2005-2015,2005,2015,https://www.pro-football-reference.com/players/O/OrloDa00.htm,O
729,Kyle Orton (QB) 2005-2014,QB,2005-2014,2005,2014,https://www.pro-football-reference.com/players/O/OrtoKy00.htm,O
730,Sandy Osiecki (QB) 1984-1984,QB,1984-1984,1984,1984,https://www.pro-football-reference.com/players/O/OsieSa20.htm,O
731,Brock Osweiler (QB) 2012-2018,QB,2012-2018,2012,2018,https://www.pro-football-reference.com/players/O/OsweBr00.htm,O
732,Tom Owen (QB) 1974-1981,QB,1974-1981,1974,1981,https://www.pro-football-reference.com/players/O/OwenTo00.htm,O
733,Mike Pagel (QB) 1982-1993,QB,1982-1993,1982,1993,https://www.pro-football-reference.com/players/P/PageMi00.htm,P
734,Curtis Painter (QB) 2009-2013,QB,2009-2013,2009,2013,https://www.pro-football-reference.com/players/P/PainCu00.htm,P
735,Tyler Palko (QB) 2010-2011,QB,2010-2011,2010,2011,https://www.pro-football-reference.com/players/P/PalkTy00.htm,P
736,Carson Palmer (QB) 2004-2017,QB,2004-2017,2004,2017,https://www.pro-football-reference.com/players/P/PalmCa00.htm,P
737,Jesse Palmer (QB) 2002-2003,QB,2002-2003,2002,2003,https://www.pro-football-reference.com/players/P/PalmJe00.htm,P
738,Jordan Palmer (QB) 2008-2014,QB,2008-2014,2008,2014,https://www.pro-football-reference.com/players/P/PalmJo20.htm,P
739,Don Panciera (QB-DB) 1949-1952,QB-DB,1949-1952,1949,1952,https://www.pro-football-reference.com/players/P/PancDo20.htm,P
740,Nick Papac (QB) 1961-1961,QB,1961-1961,1961,1961,https://www.pro-football-reference.com/players/P/PapaNi00.htm,P
741,Babe Parilli (QB) 1952-1969,QB,1952-1969,1952,1969,https://www.pro-football-reference.com/players/P/PariBa00.htm,P
742,Ace Parker+ (TB-DB-QB) 1937-1946,TB-DB-QB,1937-1946,1937,1946,https://www.pro-football-reference.com/players/P/ParkAc20.htm,P
743,Dan Pastorini (QB) 1971-1983,QB,1971-1983,1971,1983,https://www.pro-football-reference.com/players/P/PastDa00.htm,P
744,Alan Pastrana (QB) 1969-1970,QB,1969-1970,1969,1970,https://www.pro-football-reference.com/players/P/PastCh00.htm,P
745,Frank Patrick (QB) 1970-1972,QB,1970-1972,1970,1972,https://www.pro-football-reference.com/players/P/PatrFr00.htm,P
746,John Patrick (BB-QB-FB) 1941-1946,BB-QB-FB,1941-1946,1941,1946,https://www.pro-football-reference.com/players/P/PatrJo20.htm,P
747,Sean Payton (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/P/PaytSe20.htm,P
748,Pard Pearce (QB-BB) 1920-1925,QB-BB,1920-1925,1920,1925,https://www.pro-football-reference.com/players/P/PearPa20.htm,P
749,Brent Pease (QB) 1987-1988,QB,1987-1988,1987,1988,https://www.pro-football-reference.com/players/P/PeasBr00.htm,P
750,Doug Pederson (QB) 1993-2004,QB,1993-2004,1993,2004,https://www.pro-football-reference.com/players/P/PedeDo00.htm,P
751,Rodney Peete (QB) 1989-2004,QB,1989-2004,1989,2004,https://www.pro-football-reference.com/players/P/PeetRo00.htm,P
752,Steve Pelluer (QB) 1984-1990,QB,1984-1990,1984,1990,https://www.pro-football-reference.com/players/P/PellSt00.htm,P
753,Chad Pennington (QB) 2000-2010,QB,2000-2010,2000,2010,https://www.pro-football-reference.com/players/P/PennCh01.htm,P
754,Craig Penrose (QB) 1976-1979,QB,1976-1979,1976,1979,https://www.pro-football-reference.com/players/P/PenrCr00.htm,P
755,Bryce Perkins (QB) 2022-2022,QB,2022-2022,2022,2022,https://www.pro-football-reference.com/players/P/PerkBr02.htm,P
756,Mike Perrie (QB) 1939-1939,QB,1939-1939,1939,1939,https://www.pro-football-reference.com/players/P/PerrMi20.htm,P
757,Nathan Peterman (QB) 2017-2022,QB,2017-2022,2017,2022,https://www.pro-football-reference.com/players/P/PeteNa00.htm,P
758,Bryce Petty (QB) 2016-2017,QB,2016-2017,2016,2017,https://www.pro-football-reference.com/players/P/PettBr01.htm,P
759,Todd Philcox (QB) 1990-1997,QB,1990-1997,1990,1997,https://www.pro-football-reference.com/players/P/PhilTo00.htm,P
760,Mike Phipps (QB) 1970-1981,QB,1970-1981,1970,1981,https://www.pro-football-reference.com/players/P/PhipMi00.htm,P
761,Cody Pickett (QB) 2004-2005,QB,2004-2005,2004,2005,https://www.pro-football-reference.com/players/P/PickCo00.htm,P
762,Kenny Pickett (QB) 2022-2023,QB,2022-2023,2022,2023,https://www.pro-football-reference.com/players/P/PickKe00.htm,P
763,Tony Pike (QB) 2010-2010,QB,2010-2010,2010,2010,https://www.pro-football-reference.com/players/P/PikeTo00.htm,P
764,Johnny Pingel (TB-QB-HB) 1939-1939,TB-QB-HB,1939-1939,1939,1939,https://www.pro-football-reference.com/players/P/PingJo20.htm,P
765,Joe Pisarcik (QB) 1977-1984,QB,1977-1984,1977,1984,https://www.pro-football-reference.com/players/P/PisaJo00.htm,P
766,Steve Pisarkiewicz (QB) 1978-1980,QB,1978-1980,1978,1980,https://www.pro-football-reference.com/players/P/PisaSt00.htm,P
767,Milt Plum (QB) 1957-1969,QB,1957-1969,1957,1969,https://www.pro-football-reference.com/players/P/PlumMi00.htm,P
768,Jake Plummer (QB) 1997-2006,QB,1997-2006,1997,2006,https://www.pro-football-reference.com/players/P/PlumJa00.htm,P
769,Jim Plunkett (QB) 1971-1986,QB,1971-1986,1971,1986,https://www.pro-football-reference.com/players/P/PlunJi00.htm,P
770,Christian Ponder (QB) 2011-2014,QB,2011-2014,2011,2014,https://www.pro-football-reference.com/players/P/PondCh00.htm,P
771,Jim Powers (DB-LB-QB) 1950-1953,DB-LB-QB,1950-1953,1950,1953,https://www.pro-football-reference.com/players/P/PoweJi20.htm,P
772,Dak Prescott (QB) 2016-2023,QB,2016-2023,2016,2023,https://www.pro-football-reference.com/players/P/PresDa01.htm,P
773,Cotton Price (TB-DB-QB) 1940-1946,TB-DB-QB,1940-1946,1940,1946,https://www.pro-football-reference.com/players/P/PricCo20.htm,P
774,Terrelle Pryor (QB) 2011-2018,QB,2011-2018,2011,2018,https://www.pro-football-reference.com/players/P/PryoTe00.htm,P
775,Bob Ptacek (QB) 1959-1959,QB,1959-1959,1959,1959,https://www.pro-football-reference.com/players/P/PtacBo20.htm,P
776,Brock Purdy (QB) 2022-2023,QB,2022-2023,2022,2023,https://www.pro-football-reference.com/players/P/PurdBr00.htm,P
777,Bernard Quarles (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/Q/QuarBe20.htm,Q
778,Brady Quinn (QB) 2007-2012,QB,2007-2012,2007,2012,https://www.pro-football-reference.com/players/Q/QuinBr00.htm,Q
779,Jonathan Quinn (QB) 1998-2004,QB,1998-2004,1998,2004,https://www.pro-football-reference.com/players/Q/QuinJo00.htm,Q
780,Mike Quinn (QB) 1997-1998,QB,1997-1998,1997,1998,https://www.pro-football-reference.com/players/Q/QuinMi00.htm,Q
781,Warren Rabb (QB) 1960-1962,QB,1960-1962,1960,1962,https://www.pro-football-reference.com/players/R/RabbWa00.htm,R
782,Mike Rae (QB) 1976-1979,QB,1976-1979,1976,1979,https://www.pro-football-reference.com/players/R/RaexMi00.htm,R
783,Dave Ragone (QB) 2003-2003,QB,2003-2003,2003,2003,https://www.pro-football-reference.com/players/R/RagoDa00.htm,R
784,Larry Rakestraw (QB) 1966-1968,QB,1966-1968,1966,1968,https://www.pro-football-reference.com/players/R/RakeLa00.htm,R
785,Patrick Ramsey (QB) 2002-2008,QB,2002-2008,2002,2008,https://www.pro-football-reference.com/players/R/RamsPa00.htm,R
786,Steve Ramsey (QB) 1970-1976,QB,1970-1976,1970,1976,https://www.pro-football-reference.com/players/R/RamsSt00.htm,R
787,Tom Ramsey (QB) 1986-1989,QB,1986-1989,1986,1989,https://www.pro-football-reference.com/players/R/RamsTo00.htm,R
788,Walt Rankin (QB-FB) 1941-1947,QB-FB,1941-1947,1941,1947,https://www.pro-football-reference.com/players/R/RankWa20.htm,R
789,Bob Rapp (WB-BB-HB-QB) 1922-1929,WB-BB-HB-QB,1922-1929,1922,1929,https://www.pro-football-reference.com/players/R/RappBo20.htm,R
790,Tim Rattay (QB) 2000-2007,QB,2000-2007,2000,2007,https://www.pro-football-reference.com/players/R/RattTi00.htm,R
791,George Ratterman (QB) 1947-1956,QB,1947-1956,1947,1956,https://www.pro-football-reference.com/players/R/RattGe00.htm,R
